move,power
Fire Fang,65
Signal Beam,75
Rock Throw,50
Echoed Voice,40
Hidden Power,60
Tail Slap,25
Grass Pledge,80
Telekinesis,-
Outrage,120
Whirlpool,35
Venom Drench,-
Land's Wrath,90
Defense Curl,-
Taunt,-
Dive,80
Rage Powder,-
Lovely Kiss,-
Skill Swap,-
Mirror Coat,-
Lock-On,-
Safeguard,-
Judgment,100
Teeter Dance,-
Boomburst,140
Parting Shot,-
Roar,-
Bind,15
Headbutt,70
Payback,50
Magnitude,-
Sheer Cold,-
Crafty Shield,-
Steel Wing,70
Thief,60
Seed Bomb,80
Superpower,120
Miracle Eye,-
Phantom Force,90
Ingrain,-
Psychic,90
Silver Wind,60
Tickle,-
Wild Charge,90
Light Screen,-
Astonish,30
Healing Wish,-
Dragon Breath,60
Baby-Doll Eyes,-
Aeroblast,100
Thousand Arrows,90
Ice Beam,90
Fairy Wind,40
Confusion,50
Pursuit,40
Mach Punch,40
Rage,20
Wish,-
Defog,-
Screech,-
Simple Beam,-
Mimic,-
Razor Shell,75
Focus Punch,150
Encore,-
Origin Pulse,110
Bubble Beam,65
Bug Buzz,90
Mega Drain,40
Vacuum Wave,40
Geomancy,-
Slack Off,-
Growth,-
Sludge Wave,95
Electro Ball,-
Guillotine,-
Hyper Beam,150
Acid,40
Substitute,-
Rock Blast,25
Flower Shield,-
Ion Deluge,-
Gunk Shot,120
Flash,-
Frost Breath,60
Camouflage,-
Crabhammer,100
Quash,-
Solar Beam,120
Sharpen,-
Flame Charge,50
Circle Throw,60
Switcheroo,-
Crush Grip,-
Razor Leaf,55
Drill Run,80
Trick-or-Treat,-
Waterfall,80
Mat Block,-
Earthquake,100
Celebrate,-
Comet Punch,18
Embargo,-
Power-Up Punch,40
Reversal,-
Tail Whip,-
Zen Headbutt,80
Play Nice,-
Smelling Salts,70
Trick,-
Pound,40
Pain Split,-
Psych Up,-
Ice Fang,65
Sleep Powder,-
Vine Whip,45
Pin Missile,25
Smack Down,50
Feint Attack,60
Growl,-
Secret Power,70
Water Sport,-
Bite,60
Tri Attack,80
Oblivion Wing,80
Acrobatics,55
Earth Power,90
Hydro Pump,110
Night Shade,-
Fury Cutter,40
Peck,35
Poison Gas,-
Power Swap,-
Ice Burn,140
Storm Throw,60
Cotton Spore,-
Grass Whistle,-
Counter,-
Searing Shot,100
Harden,-
Uproar,90
Ancient Power,60
Iron Defense,-
Spiky Shield,-
Venoshock,65
Ice Ball,30
Toxic Spikes,-
Brine,65
Magma Storm,120
Dragon Pulse,85
Freeze Shock,140
Spike Cannon,20
Quick Guard,-
Thunder Punch,75
Hex,65
Hyperspace Hole,80
Acupressure,-
Spider Web,-
Recycle,-
Super Fang,-
Surf,90
Crunch,80
Dragon Ascent,120
Gyro Ball,-
Synchronoise,120
Shell Smash,-
Rock Wrecker,150
Sand Tomb,35
Chatter,65
Grudge,-
Metronome,-
Double Kick,30
Shadow Ball,80
Sky Uppercut,85
Grassy Terrain,-
Water Pulse,60
Round,60
Stone Edge,100
Disarming Voice,40
Heart Stamp,60
Dynamic Punch,100
Splash,-
Icy Wind,55
Grass Knot,-
Mist,-
Lucky Chant,-
String Shot,-
Flail,-
Magic Coat,-
Hold Back,40
Bolt Strike,130
Hydro Cannon,150
Sonic Boom,-
Worry Seed,-
Charge,-
Mirror Move,-
Slash,70
Toxic,-
Snore,50
Charge Beam,50
Glaciate,65
Return,-
Beat Up,-
Magnet Rise,-
Forest's Curse,-
Psycho Boost,140
Charm,-
Aqua Jet,40
Rock Climb,90
Soft-Boiled,-
Mud Bomb,65
Seismic Toss,-
False Swipe,40
Baton Pass,-
Lunar Dance,-
Low Kick,-
Thunderbolt,90
Doom Desire,140
Me First,-
Sandstorm,-
Lick,30
Mud-Slap,20
Psycho Cut,70
Confide,-
Horn Drill,-
Flash Cannon,80
Avalanche,60
Slam,80
Water Gun,40
Head Charge,120
Ally Switch,-
Triple Kick,10
Conversion,-
Withdraw,-
Ice Punch,75
Electroweb,55
Diamond Storm,100
Water Pledge,80
Seed Flare,120
Frustration,-
Wing Attack,60
Sky Attack,140
Flying Press,80
Agility,-
Fling,-
Rock Smash,40
Noble Roar,-
Steamroller,65
Eruption,150
Bone Rush,25
Ice Shard,40
Electrify,-
Giga Drain,75
Hyperspace Fury,100
Tackle,50
Coil,-
Hammer Arm,100
Clamp,35
Bullet Punch,40
Cross Chop,100
Parabolic Charge,50
Dig,80
Ember,40
Transform,-
Icicle Crash,85
Entrainment,-
Psybeam,65
Play Rough,90
Follow Me,-
Glare,-
Light of Ruin,140
Shock Wave,60
Sunny Day,-
Sucker Punch,80
Dragon Dance,-
Sludge,65
Eerie Impulse,-
Recover,-
Struggle,50
Helping Hand,-
Scald,80
Lava Plume,80
Mist Ball,70
Thunder,110
Dazzling Gleam,80
Aromatherapy,-
Dual Chop,40
Sacred Fire,100
Bone Club,65
Bullet Seed,25
Egg Bomb,100
Assurance,60
Self-Destruct,200
Cotton Guard,-
Snatch,-
Trump Card,-
Smokescreen,-
X-Scissor,80
Submission,80
Vice Grip,55
Gust,40
Fire Spin,35
Swallow,-
Odor Sleuth,-
Poison Tail,50
Precipice Blades,120
Nature Power,-
Stored Power,20
Low Sweep,65
Powder,-
Will-O-Wisp,-
Arm Thrust,15
Mud Sport,-
Horn Leech,75
Mind Reader,-
Cut,50
Cosmic Power,-
Gear Grind,50
Sky Drop,60
Weather Ball,50
Double Hit,35
Karate Chop,50
Volt Tackle,120
Mirror Shot,65
Swagger,-
Power Trick,-
Kinesis,-
Yawn,-
Double Slap,15
Acid Spray,40
Roost,-
Feint,30
Wood Hammer,120
Bestow,-
Fusion Flare,100
Bonemerang,50
Draining Kiss,50
Fly,90
Incinerate,60
Fire Pledge,80
Relic Song,75
Quiver Dance,-
Autotomize,-
Foresight,-
Bug Bite,60
Take Down,90
Rolling Kick,60
Iron Head,80
Howl,-
Aqua Ring,-
Blue Flare,130
Heat Wave,95
Defend Order,-
Scratch,40
Fake Out,40
Leaf Storm,130
Overheat,130
Dragon Rush,100
Struggle Bug,50
Dragon Rage,-
Thunder Fang,65
Fell Stinger,30
Hyper Fang,80
Extreme Speed,80
Heal Block,-
Explosion,250
Barrier,-
Heal Order,-
Heal Pulse,-
Head Smash,150
Steam Eruption,110
Disable,-
Flamethrower,90
Rollout,30
Knock Off,65
Wonder Room,-
Psystrike,100
Perish Song,-
Air Slash,75
Sludge Bomb,90
Moonlight,-
Tail Glow,-
Stockpile,-
Endure,-
Imprison,-
Giga Impact,150
Blast Burn,150
Powder Snow,40
U-turn,70
Secret Sword,85
Attack Order,90
Luster Purge,70
